text,title,note,category,amount,day_of_month,day_of_week,is_weekend
Purchase at Ola auto ride Routine transport item,Purchase at Ola auto ride,Routine transport item,transport,3644.85,21,6,1
Online House cleaning service Urban Company at store Personal spending on other,Online House cleaning service Urban Company at store,Personal spending on other,other,3923.36,15,4,0
Quick Water utility bill today Routine other item,Quick Water utility bill today,Routine other item,other,3657.62,4,3,0
Spent on Coursera specialization certification at store Monthly education budget expense,Spent on Coursera specialization certification at store,Monthly education budget expense,education,12380.89,16,3,0
Txn: Eye checkup and new glasses via GPay Paid via UPI for health,Txn: Eye checkup and new glasses via GPay,Paid via UPI for health,health,6145.12,6,1,0
Online Blood test and full body checkup Routine health item,Online Blood test and full body checkup,Routine health item,health,722.57,6,3,0
Txn: Uber cab ride to office with discount Paid via UPI for transport,Txn: Uber cab ride to office with discount,Paid via UPI for transport,transport,276.86,27,4,0
Paid for Petrol pump fuel refill today Personal spending on transport,Paid for Petrol pump fuel refill today,Personal spending on transport,transport,294.4,22,5,1
Paid for Barbeque Nation buffet with card,Paid for Barbeque Nation buffet with card,,food,915.01,19,4,0
Paid for LPG gas cylinder refill with card Monthly other budget expense,Paid for LPG gas cylinder refill with card,Monthly other budget expense,other,5858.47,24,6,1
Hospital OPD registration with card Paid via UPI for health,Hospital OPD registration with card,Paid via UPI for health,health,7769.96,9,2,0
Paid for Rapido bike taxi with discount Routine transport item,Paid for Rapido bike taxi with discount,Routine transport item,transport,4263.27,17,4,0
Online Sunglasses purchase for home Monthly shopping budget expense,Online Sunglasses purchase for home,Monthly shopping budget expense,shopping,8102.95,18,1,0
Purchase at Zomato lunch delivery Routine food item,Purchase at Zomato lunch delivery,Routine food item,food,1535.5,16,5,1
Spent on Brokerage fee for apartment at store Monthly rent budget expense,Spent on Brokerage fee for apartment at store,Monthly rent budget expense,rent,20210.0,10,4,0
Paid for Coursera specialization certification via GPay Paid via UPI for education,Paid for Coursera specialization certification via GPay,Paid via UPI for education,education,13016.52,22,6,1
Quick Cult.fit fitness pass via GPay Paid via UPI for health,Quick Cult.fit fitness pass via GPay,Paid via UPI for health,health,3814.2,19,5,1
Purchase at Broadband WiFi internet bill Personal spending on other,Purchase at Broadband WiFi internet bill,Personal spending on other,other,3574.17,23,0,0
Quick Dental clinic root canal visit with card Monthly health budget expense,Quick Dental clinic root canal visit with card,Monthly health budget expense,health,2965.96,16,4,0
Online Nike running shoes urgent,Online Nike running shoes urgent,,shopping,12265.79,18,1,0
Bill for Club weekend party entry with card Paid via UPI for entertainment,Bill for Club weekend party entry with card,Paid via UPI for entertainment,entertainment,2381.06,19,6,1
Purchase at College semester tuition fee Paid via UPI for education,Purchase at College semester tuition fee,Paid via UPI for education,education,22176.69,23,5,1
Quick First aid kit supplies at store,Quick First aid kit supplies at store,,health,5818.77,14,0,0
Purchase at Protein powder supplement via GPay Monthly health budget expense,Purchase at Protein powder supplement via GPay,Monthly health budget expense,health,705.13,5,4,0
Quick PVR cinemas IMAX tickets via GPay Routine entertainment item,Quick PVR cinemas IMAX tickets via GPay,Routine entertainment item,entertainment,646.62,19,6,1
Purchase at Watch purchase at Titan via GPay,Purchase at Watch purchase at Titan via GPay,,shopping,406.04,26,6,1
Quick Decathlon sportswear and gear at store Paid via UPI for shopping,Quick Decathlon sportswear and gear at store,Paid via UPI for shopping,shopping,11207.81,5,2,0
Spent on Coding bootcamp installment with discount Monthly education budget expense,Spent on Coding bootcamp installment with discount,Monthly education budget expense,education,15247.19,14,0,0
Purchase at House rent payment via UPI with card Monthly rent budget expense,Purchase at House rent payment via UPI with card,Monthly rent budget expense,rent,13578.07,19,6,1
Spent on Casual t-shirt and hoodie at store Monthly shopping budget expense,Spent on Casual t-shirt and hoodie at store,Monthly shopping budget expense,shopping,12979.33,8,1,0
Legal notary & document stamps for home Personal spending on other,Legal notary & document stamps for home,Personal spending on other,other,1200.82,2,2,0
Quick PVR cinemas IMAX tickets for home Monthly entertainment budget expense,Quick PVR cinemas IMAX tickets for home,Monthly entertainment budget expense,entertainment,2383.1,6,2,0
Online Physiotherapy session via GPay,Online Physiotherapy session via GPay,,health,2245.03,4,3,0
Txn: Spotify premium music renewal urgent,Txn: Spotify premium music renewal urgent,,entertainment,965.35,14,3,0
Online Co-living monthly rent with card Personal spending on rent,Online Co-living monthly rent with card,Personal spending on rent,rent,35895.99,23,2,0
Quick Swiggy order for dinner with discount Personal spending on food,Quick Swiggy order for dinner with discount,Personal spending on food,food,2936.65,4,2,0
Purchase at Co-living monthly rent today Monthly rent budget expense,Purchase at Co-living monthly rent today,Monthly rent budget expense,rent,25678.86,26,1,0
Quick Hotstar subscription plan today,Quick Hotstar subscription plan today,,entertainment,2852.06,14,4,0
Quick Sunglasses purchase with discount,Quick Sunglasses purchase with discount,,shopping,5884.44,13,4,0
Bill for Dental clinic root canal visit for home Routine health item,Bill for Dental clinic root canal visit for home,Routine health item,health,4789.15,26,5,1
Paid for Dominos pizza party via GPay Personal spending on food,Paid for Dominos pizza party via GPay,Personal spending on food,food,2561.65,2,6,1
Txn: Pet food and veterinary care today Monthly other budget expense,Txn: Pet food and veterinary care today,Monthly other budget expense,other,5346.01,12,0,0
Paid for Co-living monthly rent today Monthly rent budget expense,Paid for Co-living monthly rent today,Monthly rent budget expense,rent,32310.64,8,6,1
Quick Books and stationery store for home Personal spending on education,Quick Books and stationery store for home,Personal spending on education,education,6588.79,4,4,0
Bill for Health insurance premium Monthly health budget expense,Bill for Health insurance premium,Monthly health budget expense,health,3156.07,2,0,0
Purchase at Gym membership monthly renewal urgent Routine health item,Purchase at Gym membership monthly renewal urgent,Routine health item,health,1595.63,13,3,0
Quick Yoga class subscription with discount Routine health item,Quick Yoga class subscription with discount,Routine health item,health,3401.59,26,3,0
Cult.fit fitness pass urgent Routine health item,Cult.fit fitness pass urgent,Routine health item,health,2655.03,16,6,1
Laundry dry cleaning with discount Routine other item,Laundry dry cleaning with discount,Routine other item,other,4716.85,25,2,0
Apple store accessories today Routine shopping item,Apple store accessories today,Routine shopping item,shopping,2703.06,9,6,1
Quick Tuition fee for coaching via GPay Personal spending on education,Quick Tuition fee for coaching via GPay,Personal spending on education,education,21429.92,25,3,0
Bowling & gaming arcade with card Routine entertainment item,Bowling & gaming arcade with card,Routine entertainment item,entertainment,1309.57,20,4,0
Steam video game purchase Paid via UPI for entertainment,Steam video game purchase,Paid via UPI for entertainment,entertainment,2145.11,6,6,1
Spent on Petrol pump fuel refill via GPay Paid via UPI for transport,Spent on Petrol pump fuel refill via GPay,Paid via UPI for transport,transport,1358.8,14,3,0
Quick Courier speed post delivery via GPay,Quick Courier speed post delivery via GPay,,other,4606.47,3,3,0
Paid for Blinkit instant grocery via GPay Monthly food budget expense,Paid for Blinkit instant grocery via GPay,Monthly food budget expense,food,1069.55,3,2,0
Quick Hospital OPD registration,Quick Hospital OPD registration,,health,247.73,1,0,0
Quick Tax filing CA consultancy fee with discount,Quick Tax filing CA consultancy fee with discount,,other,4294.71,5,1,0
Bill for PG accommodation fee with discount Monthly rent budget expense,Bill for PG accommodation fee with discount,Monthly rent budget expense,rent,42229.01,26,2,0
Quick LPG gas cylinder refill urgent Paid via UPI for other,Quick LPG gas cylinder refill urgent,Paid via UPI for other,other,5131.18,3,1,0
Spent on Water tanker for society Routine rent item,Spent on Water tanker for society,Routine rent item,rent,13155.64,8,5,1
Txn: Laundry dry cleaning today,Txn: Laundry dry cleaning today,,other,2139.74,24,3,0
Bill for Midnight food delivery via GPay Routine food item,Bill for Midnight food delivery via GPay,Routine food item,food,1365.52,17,1,0
Paid for Gym membership monthly renewal at store Routine health item,Paid for Gym membership monthly renewal at store,Routine health item,health,4127.01,12,6,1
Doctor consultation fee today Routine health item,Doctor consultation fee today,Routine health item,health,2184.82,10,5,1
Spent on Laundry dry cleaning at store Monthly other budget expense,Spent on Laundry dry cleaning at store,Monthly other budget expense,other,5088.51,4,1,0
Online H&M summer collection urgent,Online H&M summer collection urgent,,shopping,13947.62,25,5,1
Online Mobile postpaid monthly bill with discount Paid via UPI for other,Online Mobile postpaid monthly bill with discount,Paid via UPI for other,other,5416.91,25,1,0
Spent on Ajio discount clothes with discount Personal spending on shopping,Spent on Ajio discount clothes with discount,Personal spending on shopping,shopping,3387.09,28,6,1
Spent on Notebooks and pens set with card Routine education item,Spent on Notebooks and pens set with card,Routine education item,education,22494.51,23,0,0
Quick Grocery shopping at DMart at store Routine food item,Quick Grocery shopping at DMart at store,Routine food item,food,2914.25,11,5,1
Quick Flipkart electronics sale at store,Quick Flipkart electronics sale at store,,shopping,6119.99,17,6,1
Txn: Flight ticket Indigo to Mumbai for home Routine transport item,Txn: Flight ticket Indigo to Mumbai for home,Routine transport item,transport,3822.58,1,0,0
Paid for Security deposit installment today,Paid for Security deposit installment today,,rent,22621.66,10,4,0
Quick Brokerage fee for apartment for home Routine rent item,Quick Brokerage fee for apartment for home,Routine rent item,rent,44555.94,9,2,0
Purchase at Concert musical event pass today,Purchase at Concert musical event pass today,,entertainment,348.82,7,6,1
Online BookMyShow movie tickets at store,Online BookMyShow movie tickets at store,,entertainment,1460.39,4,0,0
Paid for Steam video game purchase via GPay,Paid for Steam video game purchase via GPay,,entertainment,1702.1,17,5,1
Quick First aid kit supplies via GPay,Quick First aid kit supplies via GPay,,health,7101.43,2,2,0
Spent on Audible audiobooks with discount Paid via UPI for entertainment,Spent on Audible audiobooks with discount,Paid via UPI for entertainment,entertainment,492.14,22,1,0
Txn: First aid kit supplies,Txn: First aid kit supplies,,health,6519.75,18,5,1
Purchase at Online test series subscription via GPay Personal spending on education,Purchase at Online test series subscription via GPay,Personal spending on education,education,7060.36,27,4,0
Online Sunglasses purchase via GPay Personal spending on shopping,Online Sunglasses purchase via GPay,Personal spending on shopping,shopping,9577.76,19,6,1
Paid for PG accommodation fee with discount Personal spending on rent,Paid for PG accommodation fee with discount,Personal spending on rent,rent,6203.34,19,1,0
Auto rickshaw cash fare at store Monthly transport budget expense,Auto rickshaw cash fare at store,Monthly transport budget expense,transport,796.64,2,6,1
Spent on Monthly apartment rent at store Monthly rent budget expense,Spent on Monthly apartment rent at store,Monthly rent budget expense,rent,12029.17,1,0,0
Quick Coding bootcamp installment today Monthly education budget expense,Quick Coding bootcamp installment today,Monthly education budget expense,education,3307.17,17,6,1
Paid for House cleaning service Urban Company Routine other item,Paid for House cleaning service Urban Company,Routine other item,other,3331.67,7,2,0
Paid for Web development workshop fee urgent Personal spending on education,Paid for Web development workshop fee urgent,Personal spending on education,education,2011.0,18,2,0
Paid for Steam video game purchase Routine entertainment item,Paid for Steam video game purchase,Routine entertainment item,entertainment,2401.06,14,6,1
Bill for Bus pass monthly renewal urgent,Bill for Bus pass monthly renewal urgent,,transport,1868.57,11,6,1
Monthly apartment rent at store Monthly rent budget expense,Monthly apartment rent at store,Monthly rent budget expense,rent,34333.41,15,6,1
Spent on Tuition fee for coaching Routine education item,Spent on Tuition fee for coaching,Routine education item,education,9565.8,11,5,1
Paid for Coding bootcamp installment for home Monthly education budget expense,Paid for Coding bootcamp installment for home,Monthly education budget expense,education,977.88,14,3,0
Purchase at GRE / TOEFL exam registration with card Paid via UPI for education,Purchase at GRE / TOEFL exam registration with card,Paid via UPI for education,education,2307.8,12,2,0
Paid for Storage locker monthly rental at store Monthly rent budget expense,Paid for Storage locker monthly rental at store,Monthly rent budget expense,rent,44471.26,26,3,0
Quick PVR cinemas IMAX tickets urgent Paid via UPI for entertainment,Quick PVR cinemas IMAX tickets urgent,Paid via UPI for entertainment,entertainment,2362.57,2,4,0
Txn: Groceries at Reliance Smart today Personal spending on food,Txn: Groceries at Reliance Smart today,Personal spending on food,food,1538.55,10,4,0
Quick Airport cab taxi fare via GPay Paid via UPI for transport,Quick Airport cab taxi fare via GPay,Paid via UPI for transport,transport,1778.44,26,0,0
Quick Croma electronics cable & charger with card Paid via UPI for shopping,Quick Croma electronics cable & charger with card,Paid via UPI for shopping,shopping,8715.62,26,4,0
Room rent for current month for home Paid via UPI for rent,Room rent for current month for home,Paid via UPI for rent,rent,37114.03,6,2,0
Online Mobile postpaid monthly bill today,Online Mobile postpaid monthly bill today,,other,237.9,8,1,0
Spent on BigBasket weekly vegetables today Routine food item,Spent on BigBasket weekly vegetables today,Routine food item,food,3098.39,15,6,1
Airport cab taxi fare urgent,Airport cab taxi fare urgent,,transport,4401.11,28,0,0
Paid for Amazon Prime annual membership with discount,Paid for Amazon Prime annual membership with discount,,entertainment,1210.74,11,0,0
Online Gardening plants and soil urgent Personal spending on other,Online Gardening plants and soil urgent,Personal spending on other,other,4265.79,16,2,0
Spent on Language learning app subscription with card,Spent on Language learning app subscription with card,,education,2865.11,5,2,0
Quick Quarterly rent transfer to landlord via GPay Personal spending on rent,Quick Quarterly rent transfer to landlord via GPay,Personal spending on rent,rent,22429.7,6,1,0
Paid for Laundry dry cleaning with discount Routine other item,Paid for Laundry dry cleaning with discount,Routine other item,other,415.03,24,5,1
Spent on Concert musical event pass with card Routine entertainment item,Spent on Concert musical event pass with card,Routine entertainment item,entertainment,2505.08,22,2,0
Audible audiobooks for home,Audible audiobooks for home,,entertainment,1417.76,5,0,0
Bill for Diesel filling for car with discount,Bill for Diesel filling for car with discount,,transport,3745.75,1,5,1
Quick Grocery shopping at DMart at store Routine food item,Quick Grocery shopping at DMart at store,Routine food item,food,3247.65,14,2,0
Spent on Midnight food delivery at store Routine food item,Spent on Midnight food delivery at store,Routine food item,food,2916.21,28,6,1
Spent on Charity donation to NGO for home Routine other item,Spent on Charity donation to NGO for home,Routine other item,other,5335.8,1,0,0
Spent on Co-living monthly rent via GPay Paid via UPI for rent,Spent on Co-living monthly rent via GPay,Paid via UPI for rent,rent,32553.89,8,0,0
Paid for Parking fee at mall today,Paid for Parking fee at mall today,,transport,4240.11,26,6,1
Online Netflix monthly subscription with card Routine entertainment item,Online Netflix monthly subscription with card,Routine entertainment item,entertainment,364.03,18,5,1
Paid for BigBasket weekly vegetables for home,Paid for BigBasket weekly vegetables for home,,food,3414.57,6,6,1
Paid for Water utility bill for home Monthly other budget expense,Paid for Water utility bill for home,Monthly other budget expense,other,1196.99,24,0,0
Online Steam video game purchase Personal spending on entertainment,Online Steam video game purchase,Personal spending on entertainment,entertainment,2498.1,7,0,0
Paid for Midnight food delivery today Monthly food budget expense,Paid for Midnight food delivery today,Monthly food budget expense,food,2126.53,1,3,0
Purchase at Dental clinic root canal visit for home Personal spending on health,Purchase at Dental clinic root canal visit for home,Personal spending on health,health,5653.19,26,5,1
Online Car wash & detailing today,Online Car wash & detailing today,,transport,2689.29,7,6,1
Spent on Skillshare creative subscription urgent Paid via UPI for education,Spent on Skillshare creative subscription urgent,Paid via UPI for education,education,7335.48,25,0,0
Paid for Academic journal access fee via GPay Personal spending on education,Paid for Academic journal access fee via GPay,Personal spending on education,education,24446.38,26,2,0
Paid for Flat maintenance charge Monthly rent budget expense,Paid for Flat maintenance charge,Monthly rent budget expense,rent,15312.68,5,2,0
Spent on Books and stationery store with card Routine education item,Spent on Books and stationery store with card,Routine education item,education,11972.13,7,6,1
Purchase at Standup comedy show ticket at store Personal spending on entertainment,Purchase at Standup comedy show ticket at store,Personal spending on entertainment,entertainment,1144.04,14,4,0
Purchase at Street food evening snacks today Paid via UPI for food,Purchase at Street food evening snacks today,Paid via UPI for food,food,251.54,15,1,0
Purchase at Decathlon sportswear and gear at store Personal spending on shopping,Purchase at Decathlon sportswear and gear at store,Personal spending on shopping,shopping,10030.06,11,6,1
Purchase at Perfume & cosmetics store today,Purchase at Perfume & cosmetics store today,,shopping,16504.08,2,2,0
Online Spotify premium music renewal with discount Monthly entertainment budget expense,Online Spotify premium music renewal with discount,Monthly entertainment budget expense,entertainment,2795.56,13,2,0
Bill for Laundry dry cleaning with card Paid via UPI for other,Bill for Laundry dry cleaning with card,Paid via UPI for other,other,2248.91,6,1,0
Uber cab ride to office for home Routine transport item,Uber cab ride to office for home,Routine transport item,transport,4065.29,4,0,0
Courier speed post delivery with card Monthly other budget expense,Courier speed post delivery with card,Monthly other budget expense,other,5347.95,3,0,0
Quick Tax filing CA consultancy fee with card Monthly other budget expense,Quick Tax filing CA consultancy fee with card,Monthly other budget expense,other,3646.06,5,2,0
Quick Protein powder supplement Personal spending on health,Quick Protein powder supplement,Personal spending on health,health,5556.55,6,5,1
Bill for Street food evening snacks at store Routine food item,Bill for Street food evening snacks at store,Routine food item,food,1185.13,23,0,0
Paid for Uber cab ride to office via GPay Routine transport item,Paid for Uber cab ride to office via GPay,Routine transport item,transport,860.97,26,6,1
Spotify premium music renewal via GPay Monthly entertainment budget expense,Spotify premium music renewal via GPay,Monthly entertainment budget expense,entertainment,2607.67,3,2,0
Txn: Room rent for current month via GPay Routine rent item,Txn: Room rent for current month via GPay,Routine rent item,rent,41260.22,26,5,1
Bill for Protein powder supplement Monthly health budget expense,Bill for Protein powder supplement,Monthly health budget expense,health,3616.88,27,3,0
Online Parking space monthly rent at store Paid via UPI for rent,Online Parking space monthly rent at store,Paid via UPI for rent,rent,38780.99,20,4,0
Bill for Ice cream at Baskin Robbins Monthly food budget expense,Bill for Ice cream at Baskin Robbins,Monthly food budget expense,food,3207.48,2,0,0
Txn: Kindle e-book purchase urgent Monthly education budget expense,Txn: Kindle e-book purchase urgent,Monthly education budget expense,education,19434.88,7,5,1
Purchase at Monthly apartment rent for home Monthly rent budget expense,Purchase at Monthly apartment rent for home,Monthly rent budget expense,rent,10042.26,7,3,0
Paid for Nature's Basket gourmet items with card,Paid for Nature's Basket gourmet items with card,,food,1954.53,4,1,0
Bill for Hotstar subscription plan for home Personal spending on entertainment,Bill for Hotstar subscription plan for home,Personal spending on entertainment,entertainment,2327.66,12,5,1
Amazon Prime annual membership for home Monthly entertainment budget expense,Amazon Prime annual membership for home,Monthly entertainment budget expense,entertainment,1285.57,2,3,0
Electricity bill payment today,Electricity bill payment today,,other,3470.04,2,0,0
Online Online test series subscription with discount Personal spending on education,Online Online test series subscription with discount,Personal spending on education,education,6937.08,16,4,0
Txn: Gym membership monthly renewal at store Routine health item,Txn: Gym membership monthly renewal at store,Routine health item,health,4648.15,10,4,0
Steam video game purchase Paid via UPI for entertainment,Steam video game purchase,Paid via UPI for entertainment,entertainment,1298.76,13,6,1
Bill for Car servicing & oil change Routine transport item,Bill for Car servicing & oil change,Routine transport item,transport,1019.95,27,0,0
Txn: Co-living monthly rent today Personal spending on rent,Txn: Co-living monthly rent today,Personal spending on rent,rent,17524.14,13,1,0
Online Blood test and full body checkup urgent Monthly health budget expense,Online Blood test and full body checkup urgent,Monthly health budget expense,health,1633.41,21,1,0
Txn: Train ticket booking IRCTC urgent Monthly transport budget expense,Txn: Train ticket booking IRCTC urgent,Monthly transport budget expense,transport,1523.08,3,0,0
Quick Starbucks coffee & snack Monthly food budget expense,Quick Starbucks coffee & snack,Monthly food budget expense,food,1323.85,21,6,1
Purchase at Technical reference book at store Monthly education budget expense,Purchase at Technical reference book at store,Monthly education budget expense,education,840.65,3,3,0
Txn: Coding bootcamp installment via GPay Monthly education budget expense,Txn: Coding bootcamp installment via GPay,Monthly education budget expense,education,15598.14,10,5,1
Bill for Standup comedy show ticket with discount,Bill for Standup comedy show ticket with discount,,entertainment,1104.5,28,1,0
Quick PG accommodation fee urgent Monthly rent budget expense,Quick PG accommodation fee urgent,Monthly rent budget expense,rent,11699.48,8,6,1
Spent on Watch purchase at Titan Personal spending on shopping,Spent on Watch purchase at Titan,Personal spending on shopping,shopping,15971.5,15,2,0
Paid for Hotstar subscription plan urgent Paid via UPI for entertainment,Paid for Hotstar subscription plan urgent,Paid via UPI for entertainment,entertainment,1492.9,1,5,1
Online Uber cab ride to office with card Routine transport item,Online Uber cab ride to office with card,Routine transport item,transport,454.21,27,1,0
Croma electronics cable & charger via GPay Personal spending on shopping,Croma electronics cable & charger via GPay,Personal spending on shopping,shopping,3727.19,4,5,1
Bill for Metro card monthly recharge with card Paid via UPI for transport,Bill for Metro card monthly recharge with card,Paid via UPI for transport,transport,2374.03,24,0,0
Quick PVR cinemas IMAX tickets with card,Quick PVR cinemas IMAX tickets with card,,entertainment,2363.62,14,1,0
Paid for Amusement park entry ticket for home Paid via UPI for entertainment,Paid for Amusement park entry ticket for home,Paid via UPI for entertainment,entertainment,1792.7,23,3,0
Quick Petrol pump fuel refill Routine transport item,Quick Petrol pump fuel refill,Routine transport item,transport,3204.29,8,3,0
Quick Myntra clothes shopping via GPay,Quick Myntra clothes shopping via GPay,,shopping,9349.96,16,1,0
Purchase at Health insurance premium,Purchase at Health insurance premium,,health,5327.38,5,1,0
Charity donation to NGO Personal spending on other,Charity donation to NGO,Personal spending on other,other,1148.03,20,2,0
Spent on Train ticket booking IRCTC via GPay Monthly transport budget expense,Spent on Train ticket booking IRCTC via GPay,Monthly transport budget expense,transport,313.26,9,2,0
Txn: Home repair and plumbing via GPay,Txn: Home repair and plumbing via GPay,,other,5554.87,24,0,0
Bill for Hostel fees payment at store Personal spending on rent,Bill for Hostel fees payment at store,Personal spending on rent,rent,33044.03,24,5,1
KFC chicken bucket at store Routine food item,KFC chicken bucket at store,Routine food item,food,3427.92,23,5,1
Spent on Train ticket booking IRCTC via GPay Paid via UPI for transport,Spent on Train ticket booking IRCTC via GPay,Paid via UPI for transport,transport,3240.38,12,6,1
Txn: Petrol pump fuel refill for home Monthly transport budget expense,Txn: Petrol pump fuel refill for home,Monthly transport budget expense,transport,3244.44,25,6,1
Paid for Auto rickshaw cash fare today Monthly transport budget expense,Paid for Auto rickshaw cash fare today,Monthly transport budget expense,transport,1542.82,14,2,0
Books and stationery store,Books and stationery store,,education,8937.99,8,6,1
Online ATM cash withdrawal unaccounted for home,Online ATM cash withdrawal unaccounted for home,,other,2447.51,4,4,0
Paid for H&M summer collection,Paid for H&M summer collection,,shopping,11871.0,3,3,0
Purchase at Co-living monthly rent today Monthly rent budget expense,Purchase at Co-living monthly rent today,Monthly rent budget expense,rent,39607.56,28,1,0
Zara shirt and jeans urgent,Zara shirt and jeans urgent,,shopping,4763.77,27,2,0
Quick Quarterly rent transfer to landlord today,Quick Quarterly rent transfer to landlord today,,rent,11488.09,3,6,1
Quick Zara shirt and jeans with discount Monthly shopping budget expense,Quick Zara shirt and jeans with discount,Monthly shopping budget expense,shopping,646.26,12,3,0
Quick Board game cafe bill with discount Monthly entertainment budget expense,Quick Board game cafe bill with discount,Monthly entertainment budget expense,entertainment,2871.28,13,1,0
Spent on Tuition fee for coaching with card Paid via UPI for education,Spent on Tuition fee for coaching with card,Paid via UPI for education,education,14472.6,12,2,0
Purchase at Dinner with friends at restaurant urgent Monthly food budget expense,Purchase at Dinner with friends at restaurant urgent,Monthly food budget expense,food,1135.7,15,3,0
Purchase at Books and stationery store at store,Purchase at Books and stationery store at store,,education,18073.07,14,2,0
Quick Dinner with friends at restaurant via GPay Personal spending on food,Quick Dinner with friends at restaurant via GPay,Personal spending on food,food,1653.22,28,1,0
Quick College semester tuition fee with card Personal spending on education,Quick College semester tuition fee with card,Personal spending on education,education,2666.35,9,1,0
Spent on Notebooks and pens set for home,Spent on Notebooks and pens set for home,,education,23550.48,23,2,0
Paid for Gym membership monthly renewal Paid via UPI for health,Paid for Gym membership monthly renewal,Paid via UPI for health,health,4363.65,20,5,1
Quick Storage locker monthly rental via GPay Routine rent item,Quick Storage locker monthly rental via GPay,Routine rent item,rent,30578.8,27,5,1
Quick Office space rent share urgent,Quick Office space rent share urgent,,rent,13824.13,11,6,1
Purchase at H&M summer collection with discount Personal spending on shopping,Purchase at H&M summer collection with discount,Personal spending on shopping,shopping,17544.31,12,5,1
Txn: Groceries at Reliance Smart at store Personal spending on food,Txn: Groceries at Reliance Smart at store,Personal spending on food,food,949.87,27,0,0
Paid for Myntra clothes shopping for home,Paid for Myntra clothes shopping for home,,shopping,15330.77,16,3,0
Purchase at Groceries at Reliance Smart for home Paid via UPI for food,Purchase at Groceries at Reliance Smart for home,Paid via UPI for food,food,3038.86,23,4,0
Bill for Dermatologist skin treatment with discount Routine health item,Bill for Dermatologist skin treatment with discount,Routine health item,health,3330.74,24,6,1
Bill for PlayStation PS Plus subscription at store,Bill for PlayStation PS Plus subscription at store,,entertainment,1421.88,16,6,1
Quick First aid kit supplies today Monthly health budget expense,Quick First aid kit supplies today,Monthly health budget expense,health,7705.75,14,1,0
Paid for Gym membership monthly renewal via GPay Routine health item,Paid for Gym membership monthly renewal via GPay,Routine health item,health,2877.41,1,4,0
Purchase at Pizza Hut dinner with card Personal spending on food,Purchase at Pizza Hut dinner with card,Personal spending on food,food,2873.91,25,3,0
Bill for Car servicing & oil change today Paid via UPI for transport,Bill for Car servicing & oil change today,Paid via UPI for transport,transport,1816.98,6,0,0
Online Amazon online purchase urgent Routine shopping item,Online Amazon online purchase urgent,Routine shopping item,shopping,2806.08,25,5,1
Spent on Society maintenance bill today Routine rent item,Spent on Society maintenance bill today,Routine rent item,rent,9901.59,2,5,1
Txn: Medplus health supplements via GPay Monthly health budget expense,Txn: Medplus health supplements via GPay,Monthly health budget expense,health,7539.48,10,6,1
Txn: Bowling & gaming arcade Paid via UPI for entertainment,Txn: Bowling & gaming arcade,Paid via UPI for entertainment,entertainment,1467.31,8,5,1
Paid for Bank transaction charge Monthly other budget expense,Paid for Bank transaction charge,Monthly other budget expense,other,276.93,16,4,0
Spent on Hotstar subscription plan with card,Spent on Hotstar subscription plan with card,,entertainment,421.4,15,0,0
Spent on Health insurance premium at store Routine health item,Spent on Health insurance premium at store,Routine health item,health,3029.44,24,1,0
Online Tuition fee for coaching urgent Paid via UPI for education,Online Tuition fee for coaching urgent,Paid via UPI for education,education,7042.22,2,0,0
Spent on Gift for friend birthday Paid via UPI for other,Spent on Gift for friend birthday,Paid via UPI for other,other,4179.86,26,2,0
Online Train ticket booking IRCTC with discount,Online Train ticket booking IRCTC with discount,,transport,2065.7,14,3,0
Txn: Board game cafe bill at store Monthly entertainment budget expense,Txn: Board game cafe bill at store,Monthly entertainment budget expense,entertainment,1509.95,9,0,0
Spent on Ice cream at Baskin Robbins with discount Monthly food budget expense,Spent on Ice cream at Baskin Robbins with discount,Monthly food budget expense,food,3271.61,1,2,0
Spotify premium music renewal Paid via UPI for entertainment,Spotify premium music renewal,Paid via UPI for entertainment,entertainment,2778.09,28,5,1
Paid for Diesel filling for car urgent Paid via UPI for transport,Paid for Diesel filling for car urgent,Paid via UPI for transport,transport,879.07,22,6,1
Quick Zara shirt and jeans Personal spending on shopping,Quick Zara shirt and jeans,Personal spending on shopping,shopping,11034.19,19,5,1
Txn: Parking space monthly rent today Monthly rent budget expense,Txn: Parking space monthly rent today,Monthly rent budget expense,rent,26163.46,16,1,0
Paid for Chai Point tea with biscuits at store Routine food item,Paid for Chai Point tea with biscuits at store,Routine food item,food,1397.92,12,5,1
Quick Auto rickshaw cash fare via GPay Monthly transport budget expense,Quick Auto rickshaw cash fare via GPay,Monthly transport budget expense,transport,4083.85,20,5,1
Online Car wash & detailing at store Routine transport item,Online Car wash & detailing at store,Routine transport item,transport,1580.66,20,2,0
Spent on IKEA home furniture via GPay Paid via UPI for shopping,Spent on IKEA home furniture via GPay,Paid via UPI for shopping,shopping,3053.66,8,5,1
Spent on Backpack for travel Paid via UPI for shopping,Spent on Backpack for travel,Paid via UPI for shopping,shopping,5457.0,23,5,1
Txn: Casual t-shirt and hoodie via GPay Paid via UPI for shopping,Txn: Casual t-shirt and hoodie via GPay,Paid via UPI for shopping,shopping,4388.81,3,4,0
Online Spotify premium music renewal today Monthly entertainment budget expense,Online Spotify premium music renewal today,Monthly entertainment budget expense,entertainment,455.68,18,3,0
Quick Cafe Coffee Day latte with discount Monthly food budget expense,Quick Cafe Coffee Day latte with discount,Monthly food budget expense,food,2783.14,25,4,0
